track_id	title	artist_id	artist_name	country	album	year	genres
21d1285f-4221-410f-9faf-c06e30f1438e	Cannonball	2119beb8-6ac5-4f21-82a4-b831c90c0024	Damien Rice	IE	O	2000s	[chanteur, folk, irlandais]
eca73dae-0841-4150-9839-08923eb26fcf	Nacht	315fa94f-3bb5-43db-a28e-406a83e9805c	Kettcar	DE	2004-03-24: Weltbühne, Hamburg, Germany		[german, hamburg, indie rock]
a5741d3d-c925-4070-8a83-910d23eb33d4	I Will Follow You Into the Dark	0039c7ae-e1a7-4a7d-9b49-0cbc716821a6	Death Cab for Cutie	US	Plans	2000s	[alternative and punk, alternative punk, indie pop]
f4ea7daf-9ff4-4d66-8db1-555fa8dacfe2	Walk Away	1582a5b8-538e-45e7-9ae4-4099439a0e79	Ben Harper		Welcome to the Cruel World		[acoustic, folk rock, pop]
b71e3be1-0e8e-4ad9-b00b-b6868065c70d	48 Stunden	315fa94f-3bb5-43db-a28e-406a83e9805c	Kettcar	DE	2004-03-24: Weltbühne, Hamburg, Germany		[german, hamburg, indie rock]
c1106ff7-440e-4745-80d7-91ccdea93d4f	I Get Along	82b304c0-7da4-45d3-896a-0767c7ae1141	The Libertines	GB	Up the Bracket	2000s	[alternative, garage rock revival, indie rock]
08535ef6-a26c-4ca2-a9e0-cc40117cdb21	The Good Old Days	82b304c0-7da4-45d3-896a-0767c7ae1141	The Libertines	GB	Up the Bracket	2000s	[garage rock revival, indie rock, band]
610263b6-6fd7-4e9c-b385-87ca51f7d377	Play Crack the Sky	9311e2bc-bb3f-44cf-90d8-b1fe6912b60b	Brand New	US	Deja Entendu	2000s	[alternative and punk, emo]
54802efb-fd1c-4613-957b-6f1be649390e	Fuck Forever	8e1e03fe-ebbc-467a-b541-857144db10fb	Babyshambles	GB	2005.03.01: 333, London		[indie rock, garage rock revival, post-punk revival]
cc656aed-6304-42c9-89b8-9f26113d5b14	Balu	315fa94f-3bb5-43db-a28e-406a83e9805c	Kettcar	DE	Von Spatzen und Tauben, Dächern und Händen	2000s	[rock, german, hamburg]
